sig_s_shape,sig_s_scale,sig_v_shape,sig_v_scale,sig_r_shape,sig_r_scale,sig_b_shape,sig_b_scale
1887.512646325155,1.47501167180553e-05,1920.462694420338,0.00011479036202247793,167535.31718012624,1.4617483411470073e-06,1660234.9873203542,6.6588238163613715e-09
2295.6859547848403,1.2182364023952979e-05,1929.6224101723003,0.00011367263106179255,189192.8686995935,1.2939070720180118e-06,1559563.8245785732,7.088097724651203e-09
2445.2270367045794,1.139754231629313e-05,2148.9341448519735,0.00010156730704325879,157701.10081977886,1.553100484040823e-06,1673203.6655028034,6.60603030507148e-09
2994.821866148669,9.32029180334248e-06,2241.298944473309,9.747707876148764e-05,130536.6917641335,1.8755240602653287e-06,1554707.0570814742,7.1090027968458985e-09
3334.6151399747164,8.381332298166568e-06,2567.0505692714755,8.492339963148684e-05,136416.1181385958,1.7939417735777492e-06,1198396.464855392,9.222868866288021e-09
3060.935090800716,9.108356971890762e-06,2851.8731150297835,7.627236998941171e-05,120767.91561745989,2.0263553135307582e-06,1069561.7301420628,1.0332974378608184e-08
2873.8784111200825,9.694621435629695e-06,2879.777350985333,7.558842409724847e-05,90332.6070628477,2.7092876417060282e-06,1296963.0106172033,8.521913488590763e-09
3241.397960661789,8.593982213547467e-06,2942.61642113059,7.408311735462916e-05,74526.18788278395,3.284056719592557e-06,1131619.0136527824,9.76685410145268e-09
2853.532895516898,9.747445892864752e-06,2245.656102456609,9.7196799939082e-05,83305.93038038761,2.9396986882201772e-06,1053687.6501214723,1.0489460021337685e-08
2899.6468197809,9.58865574460382e-06,2021.8096944332326,0.00010791536981766529,123263.33992697053,1.9869694103391854e-06,988368.6493337961,1.1182865223603675e-08
3462.754636874346,8.019627985387665e-06,2076.049255364212,0.00010526603565343456,106475.69909762034,2.299566801982065e-06,1265611.7725997462,8.731653866964544e-09
3135.7222691765905,8.867184726119069e-06,2180.2498176053355,0.0001004532777949398,143105.17616550098,1.7112057630539063e-06,1282777.029023084,8.614618941878764e-09
3138.444408146576,8.856480746554105e-06,2041.096520736372,0.00010748380292130253,158097.03539969705,1.5483916228199287e-06,1219026.0993064998,9.065302538675365e-09
4539.792972398703,6.108441054462411e-06,2850.9187979280973,7.701454332145669e-05,147222.77767800787,1.6627974492186975e-06,1174096.6475779132,9.413182808393274e-09
4092.338758982124,6.7787339051101935e-06,2642.446002372786,8.309251263382464e-05,114004.73929390543,2.147940023842975e-06,1053007.17681183,1.0498811927779359e-08
3802.611348159135,7.307171376584656e-06,2353.6065342417673,9.300716854185297e-05,152688.34521273794,1.6043289761116812e-06,950025.4959703059,1.1636272294461452e-08
3645.807479690879,7.62719090419194e-06,2608.594564409501,8.387216958767543e-05,155373.7790364191,1.5763290232328424e-06,1049723.0592333942,1.0531513631717863e-08
2948.1846832784163,9.420042645599911e-06,2770.3022227182087,7.901449336226371e-05,222581.18013667644,1.100127482111071e-06,1186974.4625859105,9.313149379224621e-09
3122.303769787799,8.899087456962124e-06,2405.3286347578796,9.130471747545206e-05,217261.51807897832,1.127351987056879e-06,1176632.1576382047,9.396490229591603e-09
3564.245782553567,7.80239737311682e-06,2029.0247766427747,0.00010830727417059002,159005.9509458596,1.5404906927902125e-06,1150893.8844289158,9.604851928208758e-09
3478.944924785868,8.00152337874953e-06,1957.1061857546476,0.00011239154209228389,190839.3685495902,1.2835068994340532e-06,1141547.7071975118,9.683638279789582e-09
2798.439174305337,9.946065575407576e-06,1759.6729595908478,0.00012538799798941016,206377.71199869283,1.187036836775832e-06,1094993.7893159327,1.0093582888820825e-08
2891.694633633919,9.628560883251729e-06,1903.8819665427332,0.00011618487262857758,240741.52460501666,1.0178587322871374e-06,1031349.6042865566,1.0716451388224664e-08
2348.143214464213,1.1869738944563902e-05,2137.426048632829,0.00010320755819437873,228378.09071749414,1.0732367951725778e-06,1083361.0402499891,1.0203141948155745e-08
2240.8406558489614,1.244029223349504e-05,2433.3049446106597,9.06673496291404e-05,203856.5828489358,1.2022711290902807e-06,874468.4373740918,1.2641440227986538e-08
1958.503271764684,1.4157946079933684e-05,2868.5247272815295,7.660680376516578e-05,190935.196495058,1.283348762506085e-06,865607.4470078623,1.2770516276014148e-08
2095.4489540639015,1.3291346857838047e-05,2743.6882058330907,8.012577095137923e-05,206934.85013269077,1.1841911548896333e-06,768235.0473929117,1.439153433949384e-08
2397.925986643807,1.1653067551200719e-05,2627.940481572154,8.388460352746842e-05,292019.65912077023,8.38760267049326e-07,845876.4073045711,1.3070846006942878e-08
1962.005274745833,1.4236961725449756e-05,2615.6623990604767,8.44484144852741e-05,318370.604833691,7.694099156511226e-07,978044.8393537967,1.1303368054667469e-08
2490.556797396481,1.1262506800047636e-05,2705.304766866866,8.15329101291382e-05,299239.50706988364,8.184418986046455e-07,836926.8588831646,1.3208271004702727e-08
3150.2051851429583,8.942172161162764e-06,3343.156166758858,6.594444186790001e-05,250045.4943039654,9.796718031273296e-07,678617.0971758723,1.6290382401256764e-08
3238.6635836132955,8.677602963719615e-06,2917.7665113874937,7.556292815538678e-05,270127.2361077003,9.069828634706178e-07,854819.1026644305,1.2935514814678954e-08
2895.3806124388984,9.702223027855027e-06,3555.2070750949047,6.213557210081026e-05,301276.840430161,8.129817119259078e-07,1151799.5892739617,9.60061154066416e-09
2787.6717411917334,1.0062619281230945e-05,3842.9549828577883,5.7560144779917206e-05,294603.36033845285,8.31383159082954e-07,1057306.9830268354,1.045842848812588e-08
4194.948907369051,6.684700651609823e-06,3126.587697315935,7.06675248042908e-05,300549.1680365561,8.150702140610196e-07,1119063.5423131331,9.883025825032307e-09
4264.378580553052,6.579960889037369e-06,3005.8976322477306,7.352654345238193e-05,277357.9159220907,8.8322285234063e-07,1136917.408797236,9.727040895915577e-09
4430.33827065095,6.343758996172962e-06,2584.124602039791,8.539118922961983e-05,313110.47272346576,7.824358594956762e-07,1239887.1513609297,8.918669982503637e-09
5393.622893072076,5.216410806403205e-06,2378.0478934572734,9.268173498096731e-05,362157.43746007216,6.764684710115109e-07,1265555.0311494288,8.7382470914383e-09
5867.91826514826,4.792479129560382e-06,2460.1623837358375,8.979696722092678e-05,326822.68633905,7.496117036668696e-07,1291803.6624250165,8.561884825220759e-09
4893.7868937182675,5.742646814361648e-06,2993.812177573438,7.380209448142663e-05,479683.74054352625,5.106188424682835e-07,1536091.4940935,7.201236673164932e-09
